candidate_id,rank,score,reasoning
CAND_0047553,1,8.227025,Operations Manager with 1.2 yrs; 17 AI core skills; response rate 0.74.
CAND_0084267,2,8.22571,Graphic Designer with 1.3 yrs; 7 AI core skills; response rate 0.30.
CAND_0099400,3,8.223532,Business Analyst with 1.8 yrs; 10 AI core skills; response rate 0.77.
CAND_0002364,4,8.222671,Civil Engineer with 1.4 yrs; 5 AI core skills; response rate 0.69.
CAND_0049921,5,8.217669,Civil Engineer with 1.2 yrs; 5 AI core skills; response rate 0.23.
CAND_0052337,6,8.217596,Operations Manager with 1.6 yrs; 8 AI core skills; response rate 0.33.
CAND_0028411,7,8.217001,Civil Engineer with 1.5 yrs; 8 AI core skills; response rate 0.77.
CAND_0070257,8,8.216462,Mechanical Engineer with 1.5 yrs; 7 AI core skills; response rate 0.09.
CAND_0065082,9,8.215835,HR Manager with 1.9 yrs; 22 AI core skills; response rate 0.74.
CAND_0082345,10,8.213573,Business Analyst with 1.5 yrs; 8 AI core skills; response rate 0.73.
CAND_0012286,11,8.211245,HR Manager with 1.2 yrs; 7 AI core skills; response rate 0.70.
CAND_0053166,12,8.20999,HR Manager with 1.5 yrs; 19 AI core skills; response rate 0.41.
CAND_0051470,13,8.209113,Graphic Designer with 1.6 yrs; 20 AI core skills; response rate 0.17.
CAND_0002126,14,8.208691,Civil Engineer with 2.0 yrs; 17 AI core skills; response rate 0.07.
CAND_0067469,15,8.208663,Graphic Designer with 2.0 yrs; 7 AI core skills; response rate 0.07.
CAND_0028725,16,8.199012,HR Manager with 1.5 yrs; 19 AI core skills; response rate 0.72.
CAND_0035816,17,8.197994,HR Manager with 1.8 yrs; 11 AI core skills; response rate 0.51.
CAND_0004097,18,8.195954,Operations Manager with 1.5 yrs; 8 AI core skills; response rate 0.59.
CAND_0002379,19,8.189556,Civil Engineer with 1.6 yrs; 9 AI core skills; response rate 0.53.
CAND_0014620,20,8.182262,HR Manager with 1.4 yrs; 7 AI core skills; response rate 0.20.
CAND_0031236,21,8.145338,Business Analyst with 2.5 yrs; 9 AI core skills; response rate 0.42.
CAND_0035775,22,8.145248,Graphic Designer with 2.4 yrs; 22 AI core skills; response rate 0.21.
CAND_0029276,23,8.141177,HR Manager with 1.8 yrs; 8 AI core skills; response rate 0.57.
CAND_0011128,24,8.141089,Mechanical Engineer with 1.9 yrs; 7 AI core skills; response rate 0.38.
CAND_0023485,25,8.138909,HR Manager with 3.4 yrs; 10 AI core skills; response rate 0.58.
CAND_0061868,26,8.137627,HR Manager with 2.4 yrs; 18 AI core skills; response rate 0.30.
CAND_0095071,27,8.136065,Civil Engineer with 3.2 yrs; 5 AI core skills; response rate 0.39.
CAND_0074252,28,8.128448,Civil Engineer with 1.1 yrs; 11 AI core skills; response rate 0.65.
CAND_0012169,29,8.125742,Mechanical Engineer with 4.0 yrs; 7 AI core skills; response rate 0.38.
CAND_0008184,30,8.115215,Project Manager with 2.9 yrs; 10 AI core skills; response rate 0.65.
CAND_0079334,31,8.114872,Graphic Designer with 2.0 yrs; 10 AI core skills; response rate 0.71.
CAND_0052457,32,8.112023,Graphic Designer with 1.9 yrs; 16 AI core skills; response rate 0.75.
CAND_0029869,33,8.10971,Project Manager with 1.1 yrs; 6 AI core skills; response rate 0.23.
CAND_0028225,34,8.105613,Mechanical Engineer with 3.8 yrs; 18 AI core skills; response rate 0.28.
CAND_0060795,35,8.104802,Business Analyst with 3.4 yrs; 19 AI core skills; response rate 0.17.
CAND_0084415,36,8.095008,Business Analyst with 1.5 yrs; 21 AI core skills; response rate 0.61.
CAND_0085630,37,8.081639,Mechanical Engineer with 1.4 yrs; 8 AI core skills; response rate 0.60.
CAND_0075664,38,8.069781,Graphic Designer with 1.2 yrs; 13 AI core skills; response rate 0.48.
CAND_0081523,39,8.069771,HR Manager with 1.2 yrs; 20 AI core skills; response rate 0.77.
CAND_0038038,40,8.068236,Project Manager with 3.6 yrs; 18 AI core skills; response rate 0.26.
CAND_0052836,41,8.053878,Civil Engineer with 1.6 yrs; 7 AI core skills; response rate 0.34.
CAND_0021129,42,8.052671,Civil Engineer with 1.3 yrs; 10 AI core skills; response rate 0.40.
CAND_0040052,43,8.050635,Mechanical Engineer with 2.8 yrs; 8 AI core skills; response rate 0.30.
CAND_0062341,44,8.050031,Graphic Designer with 3.3 yrs; 10 AI core skills; response rate 0.24.
CAND_0020030,45,8.048616,HR Manager with 1.3 yrs; 7 AI core skills; response rate 0.76.
CAND_0065699,46,8.040229,Civil Engineer with 1.8 yrs; 9 AI core skills; response rate 0.75.
CAND_0065045,47,8.037053,Mechanical Engineer with 2.2 yrs; 8 AI core skills; response rate 0.59.
CAND_0037237,48,8.035925,Graphic Designer with 1.1 yrs; 8 AI core skills; response rate 0.13.
CAND_0015108,49,8.03406,Civil Engineer with 2.4 yrs; 15 AI core skills; response rate 0.42.
CAND_0056815,50,8.033521,HR Manager with 2.4 yrs; 20 AI core skills; response rate 0.61.
CAND_0097032,51,8.033517,Civil Engineer with 2.7 yrs; 10 AI core skills; response rate 0.51.
CAND_0083621,52,8.030002,Software Engineer with 1.6 yrs; 11 AI core skills; response rate 0.31.
CAND_0082805,53,8.029496,Operations Manager with 1.5 yrs; 8 AI core skills; response rate 0.16.
CAND_0095130,54,8.027882,Sales Executive with 1.6 yrs; 10 AI core skills; response rate 0.64.
CAND_0033021,55,8.027674,Business Analyst with 3.3 yrs; 6 AI core skills; response rate 0.31.
CAND_0005928,56,8.02546,Mechanical Engineer with 1.0 yrs; 6 AI core skills; response rate 0.16.
CAND_0075863,57,8.025283,Civil Engineer with 2.6 yrs; 15 AI core skills; response rate 0.66.
CAND_0064923,58,8.024089,Civil Engineer with 1.9 yrs; 8 AI core skills; response rate 0.51.
CAND_0083203,59,8.018385,Operations Manager with 3.4 yrs; 17 AI core skills; response rate 0.20.
CAND_0029533,60,8.010772,Operations Manager with 1.1 yrs; 17 AI core skills; response rate 0.68.
CAND_0053865,61,8.008869,Mechanical Engineer with 2.3 yrs; 6 AI core skills; response rate 0.08.
CAND_0032971,62,8.006988,Sales Executive with 1.8 yrs; 17 AI core skills; response rate 0.52.
CAND_0049437,63,7.999216,Graphic Designer with 2.6 yrs; 5 AI core skills; response rate 0.74.
CAND_0056942,64,7.993372,HR Manager with 3.2 yrs; 9 AI core skills; response rate 0.18.
CAND_0090102,65,7.992245,HR Manager with 1.9 yrs; 8 AI core skills; response rate 0.24.
CAND_0056720,66,7.990935,Mechanical Engineer with 2.8 yrs; 16 AI core skills; response rate 0.63.
CAND_0006502,67,7.989041,Marketing Manager with 1.6 yrs; 10 AI core skills; response rate 0.11.
CAND_0004655,68,7.987733,Mechanical Engineer with 1.6 yrs; 9 AI core skills; response rate 0.43.
CAND_0053668,69,7.984195,Mechanical Engineer with 2.4 yrs; 6 AI core skills; response rate 0.47.
CAND_0011362,70,7.981887,Civil Engineer with 2.6 yrs; 9 AI core skills; response rate 0.08.
CAND_0054286,71,7.980797,HR Manager with 2.4 yrs; 9 AI core skills; response rate 0.35.
CAND_0070953,72,7.980701,Civil Engineer with 2.4 yrs; 6 AI core skills; response rate 0.47.
CAND_0071495,73,7.974998,Graphic Designer with 1.4 yrs; 7 AI core skills; response rate 0.57.
CAND_0063760,74,7.969457,Civil Engineer with 4.1 yrs; 10 AI core skills; response rate 0.52.
CAND_0027396,75,7.966629,Mechanical Engineer with 2.9 yrs; 8 AI core skills; response rate 0.42.
CAND_0092007,76,7.965938,Mechanical Engineer with 1.8 yrs; 8 AI core skills; response rate 0.21.
CAND_0000815,77,7.958269,Project Manager with 2.5 yrs; 17 AI core skills; response rate 0.39.
CAND_0009190,78,7.954123,HR Manager with 1.0 yrs; 21 AI core skills; response rate 0.39.
CAND_0002242,79,7.95164,Business Analyst with 2.4 yrs; 7 AI core skills; response rate 0.62.
CAND_0030785,80,7.946598,Customer Support with 1.6 yrs; 7 AI core skills; response rate 0.28.
CAND_0092052,81,7.945068,HR Manager with 3.6 yrs; 11 AI core skills; response rate 0.25.
CAND_0061502,82,7.943356,Mechanical Engineer with 4.4 yrs; 9 AI core skills; response rate 0.19.
CAND_0000889,83,7.941537,Mechanical Engineer with 1.6 yrs; 7 AI core skills; response rate 0.38.
CAND_0054362,84,7.940408,Project Manager with 1.9 yrs; 7 AI core skills; response rate 0.25.
CAND_0026346,85,7.920087,Civil Engineer with 1.0 yrs; 6 AI core skills; response rate 0.49.
CAND_0000301,86,7.918498,Operations Manager with 1.9 yrs; 7 AI core skills; response rate 0.33.
CAND_0005901,87,7.913061,Business Analyst with 4.0 yrs; 16 AI core skills; response rate 0.29.
CAND_0056641,88,7.906082,Project Manager with 1.9 yrs; 5 AI core skills; response rate 0.32.
CAND_0033393,89,7.902123,Project Manager with 1.8 yrs; 20 AI core skills; response rate 0.38.
CAND_0048299,90,7.900894,Operations Manager with 2.1 yrs; 10 AI core skills; response rate 0.16.
CAND_0007111,91,7.892106,Mechanical Engineer with 3.4 yrs; 9 AI core skills; response rate 0.06.
CAND_0000772,92,7.891453,Mechanical Engineer with 1.6 yrs; 8 AI core skills; response rate 0.62.
CAND_0043681,93,7.888725,Sales Executive with 1.9 yrs; 9 AI core skills; response rate 0.40.
CAND_0092918,94,7.887809,Mechanical Engineer with 2.9 yrs; 10 AI core skills; response rate 0.77.
CAND_0057520,95,7.878345,Customer Support with 1.1 yrs; 11 AI core skills; response rate 0.66.
CAND_0076967,96,7.868159,HR Manager with 4.2 yrs; 9 AI core skills; response rate 0.74.
CAND_0068673,97,7.865191,Sales Executive with 4.0 yrs; 7 AI core skills; response rate 0.66.
CAND_0049788,98,7.860097,Operations Manager with 3.6 yrs; 7 AI core skills; response rate 0.58.
CAND_0029463,99,7.859697,Mechanical Engineer with 3.9 yrs; 10 AI core skills; response rate 0.20.
CAND_0078495,100,7.854343,Marketing Manager with 3.0 yrs; 8 AI core skills; response rate 0.60.
